Date,Close/Last,Volume,Open,High,Low,Day
02/10/2022,159.00,68268120,158.35,160.72,157.75,497
02/11/2022,153.29,77100440,158.13,159.00,152.73,498
02/14/2022,155.17,83230700,151.75,158.45,151.65,499
02/15/2022,156.51,56970660,157.61,158.01,154.64,500
02/16/2022,158.10,52704280,155.79,158.83,154.73,501
02/17/2022,154.65,64032500,158.15,160.35,154.50,502
02/18/2022,152.60,63604100,155.50,155.50,150.89,503
02/22/2022,150.20,66128240,150.48,152.98,148.49,504
02/23/2022,144.83,64243560,151.65,151.76,144.65,505
02/24/2022,151.36,100785760,139.84,151.75,139.50,506
02/25/2022,153.79,62395360,150.55,153.99,149.21,507
02/28/2022,153.56,57683420,152.43,154.45,150.85,508
03/01/2022,151.14,44873580,152.73,154.10,149.98,509
03/02/2022,152.05,47334720,150.85,153.00,148.75,510
03/03/2022,147.90,65197200,153.53,153.93,146.86,511
03/04/2022,145.64,60983120,147.16,147.85,143.81,512
03/07/2022,137.45,86933860,145.44,146.09,137.42,513
03/08/2022,136.01,91662580,136.68,140.70,133.57,514
03/09/2022,139.28,82656660,139.50,140.25,136.83,515
03/10/2022,146.82,135062900,145.69,148.67,143.98,516
03/11/2022,145.52,68900560,149.57,149.68,145.37,517
03/14/2022,141.85,74086100,145.98,147.45,140.88,518
03/15/2022,147.37,75584600,142.85,147.99,142.00,519
03/16/2022,153.10,84957680,148.50,153.15,147.35,520
03/17/2022,157.24,72934840,152.64,157.50,152.14,521
03/18/2022,161.25,102962760,156.81,161.59,156.01,522
03/21/2022,161.49,66537520,161.12,163.08,159.55,523
03/22/2022,164.89,64086120,161.81,166.17,161.70,524
03/23/2022,163.41,55811860,163.71,166.37,162.69,525
03/24/2022,163.65,56798060,163.75,164.12,160.05,526
03/25/2022,164.77,49085500,164.00,165.37,162.25,527
03/28/2022,168.99,59853820,164.98,169.04,164.90,528
03/29/2022,169.32,66153600,170.38,170.83,167.87,529
03/30/2022,166.30,56167260,168.51,168.95,165.50,530
03/31/2022,163.00,59965780,166.44,166.50,162.95,531
04/01/2022,163.56,57089500,164.15,165.83,162.32,532
04/04/2022,168.35,50007960,164.13,168.39,163.21,533
04/05/2022,164.06,53728560,167.74,168.11,163.27,534
04/06/2022,158.76,79055760,161.65,162.20,157.25,535
04/07/2022,157.78,68136780,158.40,160.08,154.51,536
04/08/2022,154.46,46001660,156.75,157.37,154.23,537
04/11/2022,151.12,52112340,152.71,154.14,150.53,538
04/12/2022,150.79,55177440,153.69,155.10,150.38,539
04/13/2022,155.54,53390880,150.02,156.03,149.60,540
04/14/2022,151.71,51598140,155.39,155.90,151.47,541
04/18/2022,152.79,46513520,151.52,154.04,150.25,542
04/19/2022,158.12,54926420,152.03,158.65,151.55,543
04/20/2022,154.00,59630020,157.60,157.60,153.60,544
04/21/2022,148.30,63969320,154.71,156.74,147.59,545
04/22/2022,144.35,73078580,148.25,149.62,143.70,546
04/25/2022,146.07,61874980,144.02,146.22,142.31,547
04/26/2022,139.39,77529160,144.80,144.86,138.93,548
04/27/2022,138.17,71336300,140.19,141.95,135.78,549
04/28/2022,144.60,117316940,142.18,145.94,140.30,550
04/29/2022,124.28,272661800,129.85,130.76,121.63,551
05/02/2022,124.50,148788980,122.40,124.67,118.38,552
05/03/2022,124.25,79133360,124.05,126.22,122.83,553
05/04/2022,125.93,110745360,123.60,126.00,119.18,554
05/05/2022,116.41,144391220,123.00,123.50,115.07,555
05/06/2022,114.77,124259900,114.85,119.05,113.08,556
05/09/2022,108.79,128124380,111.31,114.00,107.96,557
05/10/2022,108.86,105433820,111.25,112.64,107.17,558
05/11/2022,105.37,109703640,108.10,110.16,104.43,559
05/12/2022,106.93,132025140,102.75,110.78,102.41,560
05/13/2022,113.06,93684560,109.07,113.18,107.80,561
05/16/2022,110.81,74565740,113.10,113.99,110.35,562
05/17/2022,115.37,76447740,113.28,115.80,111.28,563
05/18/2022,107.11,108379180,111.44,112.85,106.25,564
05/19/2022,107.32,88142540,106.28,110.03,106.19,565
05/20/2022,107.59,99500640,109.57,109.90,105.01,566
05/23/2022,107.56,107797360,108.46,108.82,103.95,567
05/24/2022,104.10,102934680,104.03,105.40,101.26,568
05/25/2022,106.78,93120100,103.66,108.18,103.65,569
05/26/2022,111.08,93002600,107.97,112.67,107.45,570
05/27/2022,115.15,93660160,113.55,115.19,112.63,571
05/31/2022,120.21,144634160,116.28,121.99,115.68,572
06/01/2022,121.68,127528980,122.26,125.18,120.62,573
06/02/2022,125.51,100560680,121.68,125.61,120.05,574
06/03/2022,122.35,97603320,124.20,124.40,121.05,575
06/06/2022,124.79,135269000,125.25,128.99,123.81,576
